sexo Idade REG Q1 Q2 Q3 Ramo_atividade Ocupação UF Q402 Q403 Q404 Q405 Q406 Q407 Q501 Q502 Q7 Q8 Q12P1A Q12P2A Q12P2B Q18 Q21 Q22A P1 P8 P9 P1001 P1002 P1003 P1004 P1101 P1102 P1103 P1104 P1105 P12 P24 P25 P26 P29 P30 D4 D12A Q13B2 Q13B2A Q10A Q10B Q11 Q12P1B Q13A Q13B Q22B Q22C Q22D P1A D51 D52 Q1501 Q1502 Q1503 Q1504 Q1505 Q1506 Q1507 Q1508 Q1509 Q1510 Q1511 Q1512 Q1513 Q1514 Q1515 Q1516 Q1517 Q1518 Q1519 Q1520 Q1521 Q1522 Q1523 Q1524 Q1525 Q1526 Escolaridade Q14A Q14B P201 P203 P204 P205 P207 P208 P209 P210 P211 P212 P213 P216 P217 P215 P202 P206 P214 P18 Q1601 Q1602 Q1603 Q1604 Q1605 Q1606 Q1607 Q1608 Q1609 Q1610 Q1611 Q1612 Q1613 Q1614 Q1615 Q1616 Q1617 Q1618 Q1619 Q1620 Q1621 P301 P302 P304 P305 P308 P309 P310 P311 P312 P303 P307 P306 P401 P402 P403 P404 P405 P406 P407 P408 P409 P410 P411 P412 P5 P601 P602 P603 P604 P605 P606 P607 P608 P609 P610 P611 P612 P613 P614 P615 P616 P27 D11 D10 D9Renda D7 seq Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 final_gik1 final_gik2 final_gik3
1 2 1 3 3 5 10 4 2 1 4 4 2 1 1 2 5 1 1 6 6 7 11 2 2 1 1 1 5 5 1 1 1 5 4 2 5 1 1 2 1 1 1 3 2 1 2 2 28 4 17 1 2 2 32 6 4 2 2 1 1 1 1 7 1 1 5 1 1 6 6 1 1 1 1 7 1 1 5 1 1 1 1 1 6 3 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 1 8 11 9 8 1 7 12 1 1 12 12 1 1 12 1 1 2 2 2 2 5 2 5 6 2 1 5 1 2 2 1 2 2 2 3 2 2 2 4 2 1 5 4 5 4 6 3 6 6 9 4 7 6 9 7 6 9 1 2 5 2 16 11 1213351042144211251166711221115511154251121113212228417122326422111171151166111171151111163552222222222222221211111181198171211121211121122225256215122122232224215454636694769769125216 1 0,3333 0,3333 0,3333 0,4798 0 0,5202
1 5 1 3 3 2 10 4 2 1 5 1 2 1 1 5 5 1 1 1 1 2 11 4 2 1 2 2 1 1 4 1 1 1 1 1 1 1 2 1 4 2 1 3 1 1 2 2 28 4 9 1 2 1 4 3 21 2 2 1 1 12 6 1 5 12 5 12 12 12 10 12 5 1 12 12 6 12 12 12 12 1 12 12 11 3 2 5 2 2 2 2 1 2 2 2 2 2 2 2 1 2 2 2 1 5 1 1 1 1 1 4 11 1 5 6 9 8 3 1 6 1 1 1 1 1 1 5 4 5 4 6 3 2 6 2 2 6 4 4 3 2 4 3 3 4 4 2 2 4 3 2 1 5 2 3 3 1 8 6 5 1 4 6 5 3 2 1 16 6 3 1 16 12 1513321042151211551111211421221141111111214213112228491214321221112615125121212101251121261212121211212113252222122222221222151111141115698316111111545463262264432433442243215233186514653211663116 1 0,3333 0,3333 0,3333 0,4566 0,0878 0,4556
2 6 1 3 4 3 10 4 2 1 2 3 5 2 1 3 2 2 3 1 1 2 8 4 2 1 4 3 2 2 4 5 2 2 3 2 4 1 2 10 11 2 1 3 2 1 6 2 28 3 14 1 15 2 32 6 4 2 2 1 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 2 3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 6 12 12 4 1 12 11 6 12 1 12 12 6 12 3 12 6 1 12 12 1 2 2 3 2 5 2 3 3 2 2 5 2 3 2 2 4 2 2 4 4 3 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 16 4 5 1 10 13 26134310421235213223112842143224522324121011213216228314115232642211212121212121212121212121212121212121212121212121123122222222222222222661212411211612112126123126112121223252332252322422443332211111111111111111645110 1 0,3333 0,3333 0,3333 0 0,8739 0,1261
2 3 1 4 4 5 10 4 2 2 5 1 5 1 1 1 3 3 1 1 1 2 1 4 2 1 4 3 1 1 2 2 5 1 6 5 5 1 2 5 1 2 2 2 2 1 1 2 28 5 9 1 15 2 32 6 4 2 2 1 12 12 12 10 12 12 8 12 12 12 12 12 9 12 12 12 12 12 9 12 12 12 12 12 9 3 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 5 12 12 3 1 5 11 8 12 1 12 12 10 12 12 12 1 1 12 12 1 2 1 6 6 6 2 2 6 1 2 6 5 3 1 1 3 3 3 3 3 1 3 3 3 2 6 6 6 6 4 6 10 10 11 9 6 3 4 6 6 6 12 2 5 1 10 14 23144510422515111331112142143112251655125122221122859115232642211212121012128121212121291212121212912121212129355222222222222222221512123151181211212101212121112121216662261265311333331333266664610101196346661225110 1 0,3333 0,3333 0,3333 0 0,6266 0,3734
1 6 1 3 3 1 3 3 3 1 5 1 1 4 1 1 5 4 1 1 1 4 6 5 2 2 4 3 1 1 2 1 1 1 1 1 5 1 2 2 8 2 2 3 2 1 2 2 28 5 14 1 2 2 32 6 30 2 2 6 12 6 12 6 12 12 6 12 12 12 6 6 6 12 12 6 6 12 12 6 6 12 12 12 11 7 3 5 2 2 2 2 1 2 1 2 2 2 2 2 2 2 2 2 2 5 6 12 12 6 6 6 6 6 6 6 12 12 6 12 6 12 6 6 12 6 1 6 1 6 6 6 6 6 6 6 6 6 2 3 3 3 3 3 3 3 3 3 3 3 3 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 5 4 2 3 15 1613313331511411541114652243112111115122822321222851412232630226126126121261212126661212661212661212121173522221212222222222561212666666612126126126612616166666666623333333333332111111111111111125423 1 0,3333 0,3333 0,3333 0,0782 0,6314 0,2904
2 2 1 2 2 3 7 3 3 1 5 1 5 1 1 3 3 1 1 1 1 2 8 4 2 1 2 2 1 5 3 4 1 1 1 2 5 1 3 2 4 2 1 3 1 3 7 2 28 3 9 3 16 2 32 6 4 2 2 1 3 1 3 3 1 1 1 6 12 12 12 1 1 12 12 2 1 1 4 1 3 2 12 4 2 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 9 1 4 3 2 3 11 4 12 1 12 12 6 2 12 12 2 5 3 12 1 1 4 3 2 2 1 2 6 4 2 5 4 1 2 2 2 2 3 3 2 1 2 4 3 1 5 3 3 2 2 3 4 2 2 2 1 2 3 6 5 2 12 1 3 3 3 16 2212237331515113311112842122153411125132421313722839316232642213133111612121211121221141321242333222222222222222122914323114121121262121225312114322126425412222332124315332234222123652121333 1 0,3333 0,3333 0,3333 0,2281 0,0578 0,7141
2 3 1 3 3 3 10 4 3 4 5 1 4 1 1 2 2 1 1 1 1 1 14 4 2 3 1 2 1 4 1 4 1 1 1 5 5 1 2 2 1 1 1 3 2 8 7 2 28 3 12 8 16 2 32 6 30 2 2 3 1 1 12 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 11 7 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 6 1 12 3 2 5 1 5 1 4 9 5 6 5 1 1 1 3 1 12 1 1 3 3 4 6 6 2 2 5 2 3 6 3 2 2 2 3 3 3 4 3 2 2 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 17 2 5 2 3 17 23133310434514112211111144231214141115512211132872283128162326302231112111111111111111111111117552222222222222221261123251514956511131121133466225236322233343223221111111111111111172523 1 0,3333 0,3333 0,3333 0,7057 0,0968 0,1974
1 3 1 3 1 2 4 2 3 1 5 2 2 1 2 1 4 1 1 1 1 2 11 4 2 2 1 2 4 5 4 1 1 5 2 1 4 1 1 2 4 2 2 1 2 8 7 1 20 2 9 1 15 2 32 6 30 2 2 1 1 1 12 5 12 12 6 12 12 12 11 12 6 12 1 1 1 12 4 1 1 12 12 12 11 5 3 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 3 1 4 2 1 3 11 5 1 1 2 1 6 1 1 3 1 1 1 2 1 2 2 2 2 4 2 3 3 2 2 2 2 1 1 1 3 2 2 3 3 2 3 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 3 3 3 18 1313124231522121411112114221245411521411242212871202911523263022111125121261212121112612111124111212121153522222222222222222531421311511216113111212222423322221113223323322111111111111111113333 1 0,3333 0,3333 0,3333 0,5292 0,0593 0,4116
2 4 1 2 2 3 10 4 3 1 5 1 5 1 1 1 3 1 1 1 1 2 9 4 2 1 2 1 1 5 5 5 1 1 1 5 5 1 2 2 4 2 2 3 2 1 2 2 28 3 9 1 2 2 32 6 4 2 2 1 1 1 1 3 1 1 1 3 1 12 1 1 1 1 1 1 1 1 12 1 1 1 1 1 1 9 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 9 1 12 1 1 6 7 2 2 1 2 12 6 1 2 12 2 12 12 3 1 3 3 2 1 2 1 3 6 3 2 5 4 3 3 2 2 2 3 4 2 1 2 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 2 3 3 16 19 2412231043151511131111294212115551115512242232122283912232642211113111311211111111121111119332222222222222222259112116722121261212212123133212136325433222342124311111111111111111423316 1 0,3333 0,3333 0,3333 0,7085 0,043 0,2485
1 4 1 2 3 2 10 4 3 1 5 1 2 1 1 5 5 1 1 1 1 2 11 4 2 2 1 2 5 5 1 5 1 1 3 5 5 1 1 5 4 2 2 1 2 1 2 2 28 5 9 1 2 2 32 6 30 2 2 1 1 1 1 1 1 1 1 1 1 12 1 1 1 1 1 1 1 12 1 1 1 1 1 1 1 9 5 5 1 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 5 8 12 8 1 1 1 9 1 8 9 1 1 1 1 1 12 1 1 1 1 1 2 2 6 2 6 2 2 5 2 5 6 2 1 2 1 4 2 2 4 4 1 2 4 3 1 1 4 4 4 6 4 6 1 1 1 1 1 1 5 1 1 2 5 3 3 10 20 141232104315121155111121142212551511355115422121222859122326302211111111111211111111211111119551222222212222222258128111918911111121111122626225256212142244124311444646111111511253310 1 0,3333 0,3333 0,3333 0,7983 0 0,2017
