sexo Idade REG Q1 Q2 Q3 Ramo_atividade Ocupação UF Q402 Q403 Q404 Q405 Q406 Q407 Q501 Q502 Q7 Q8 Q12P1A Q12P2A Q12P2B Q18 Q21 Q22A P1 P8 P9 P1001 P1002 P1003 P1004 P1101 P1102 P1103 P1104 P1105 P12 P24 P25 P26 P29 P30 D4 D12A Q13B2 Q13B2A Q10A Q10B Q11 Q12P1B Q13A Q13B Q22B Q22C Q22D P1A D51 D52 Q1501 Q1502 Q1503 Q1504 Q1505 Q1506 Q1507 Q1508 Q1509 Q1510 Q1511 Q1512 Q1513 Q1514 Q1515 Q1516 Q1517 Q1518 Q1519 Q1520 Q1521 Q1522 Q1523 Q1524 Q1525 Q1526 Escolaridade Q14A Q14B P201 P203 P204 P205 P207 P208 P209 P210 P211 P212 P213 P216 P217 P215 P202 P206 P214 P18 Q1601 Q1602 Q1603 Q1604 Q1605 Q1606 Q1607 Q1608 Q1609 Q1610 Q1611 Q1612 Q1613 Q1614 Q1615 Q1616 Q1617 Q1618 Q1619 Q1620 Q1621 P301 P302 P304 P305 P308 P309 P310 P311 P312 P303 P307 P306 P401 P402 P403 P404 P405 P406 P407 P408 P409 P410 P411 P412 P5 P601 P602 P603 P604 P605 P606 P607 P608 P609 P610 P611 P612 P613 P614 P615 P616 P27 D11 D10 D9Renda D7 seq Patterns FreqPatterns initial_gik1 initial_gik2 initial_gik3 final_gik1 final_gik2 final_gik3
2 3 2 1 1 1 9 1 8 5 5 5 5 5 5 5 5 1 1 1 1 2 10 5 2 1 1 1 1 5 1 4 5 5 1 5 1 1 1 8 8 1 1 3 2 5 7 1 8 4 9 1 1 1 8 2 4 2 2 1 3 3 4 1 3 3 5 12 3 3 11 4 6 5 5 4 4 5 3 3 4 3 12 4 11 9 5 5 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 5 6 1 5 7 1 4 10 6 9 1 10 1 6 5 2 3 1 1 3 1 1 3 3 3 2 6 2 2 3 3 2 6 2 3 3 1 3 3 3 4 4 3 1 3 3 1 1 1 1 1 1 1 5 3 1 2 6 3 1 1 1 1 10 6 11 3 2 521 23211191855555555111121052111151455151118811325718491118242213341335123311465544533431241195522222222222212222561571410691101652311311333262233262331333443133111111153126311111061132 1 0,3333 0,3333 0,3333 0,3876 0 0,6124
1 4 2 3 4 2 10 4 8 1 5 1 5 1 1 2 7 5 3 5 1 1 11 4 1 2 5 1 1 1 1 1 1 1 1 7 5 1 1 12 8 1 1 3 2 1 2 2 28 5 17 1 2 5 31 6 30 1 2 11 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 11 1 1 1 2 7 4 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 11 1 1 1 11 1 1 1 1 11 1 1 1 1 1 1 1 1 1 1 1 3 3 7 8 8 4 8 7 3 3 8 8 2 2 2 2 2 6 6 4 3 3 3 3 2 1 1 1 11 12 1 1 1 1 1 1 11 1 1 1 1 18 2 3 1 16 522 1423421048151511275351111412511111111751112811321222851712531630121111111111111111111111111111274221222222222222121111111111111111111111111337884873388222226643333211111121111111111111823116 1 0,3333 0,3333 0,3333 0,7068 0,2932 0
2 5 2 4 3 1 2 3 8 1 5 1 5 1 1 5 5 1 5 1 1 2 11 5 2 2 1 1 1 5 5 5 1 5 1 5 5 1 2 6 1 1 1 3 3 1 2 2 28 5 9 1 2 2 32 6 30 1 2 1 12 12 12 12 12 12 12 12 12 12 8 12 12 12 12 12 12 12 12 1 12 12 12 12 11 7 1 5 2 2 1 2 1 2 1 2 1 2 2 1 2 1 2 1 2 5 1 5 12 1 1 1 8 1 1 1 12 1 1 1 1 1 1 1 12 1 1 2 3 3 3 3 2 3 6 3 3 3 3 1 3 3 4 3 3 3 3 3 3 3 3 1 1 1 1 7 6 1 8 9 8 1 3 5 3 1 1 1 2 2 3 9 3 523 25243123815151155151121152211155515155126111331222859122326301211212121212121212121281212121212121212112121212117152212121212212121251512111811112111111112112333323633331334333333331111761898135311122393 1 0,3333 0,3333 0,3333 0,3765 0,3861 0,2375
2 6 2 3 4 6 8 1 8 1 2 5 5 1 1 7 5 1 5 1 1 2 13 5 2 2 4 3 6 1 6 1 1 1 5 5 5 1 1 7 8 2 1 1 2 1 2 2 28 5 5 1 2 2 32 6 30 2 2 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 3 5 6 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 14 12 12 14 11 14 5 1 12 11 12 14 14 12 14 14 1 1 14 12 1 1 1 6 6 7 7 7 2 2 7 7 7 3 3 5 4 4 4 5 5 5 5 1 1 2 1 5 1 8 1 1 12 1 1 1 12 1 1 1 1 1 12 2 11 1 2 524 2623468181255117515112135224361611155511782112122285512232630221212121212121212121212121212121212121212121212121211356222222222222222226141212141114511211121414121414111412111667772277733544455551121518111211112111111221112 1 0,3333 0,3333 0,3333 0 1 0
2 4 2 2 2 1 8 1 8 1 5 1 1 1 1 5 5 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 5 5 1 1 5 4 2 1 1 2 1 2 1 4 3 5 1 2 5 22 2 30 1 2 11 14 7 12 11 12 14 5 14 12 14 4 14 8 14 6 7 5 14 11 14 4 5 14 14 13 9 5 5 2 2 1 2 2 2 2 2 2 2 2 2 1 2 2 2 2 6 9 8 8 6 11 6 6 7 9 11 7 14 5 14 14 14 7 10 14 6 4 2 2 4 4 6 6 6 7 7 2 6 7 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 4 3 4 2 525 24222181815111155111111112111111111551154211212143512522230121114712111214514121441481467514111445141413955221222222222122226988611667911714514141471014642244666772674444444444442111111111111111184342 1 0,3333 0,3333 0,3333 0,189 0,4664 0,3445
2 2 2 4 4 5 10 4 8 1 5 1 5 1 1 5 5 1 1 1 5 7 13 4 2 2 5 4 1 5 5 1 1 1 1 2 2 1 2 5 4 1 1 3 5 6 7 2 28 2 5 6 16 1 4 3 30 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 1 1 3 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 1 3 3 4 11 4 1 3 1 11 1 1 1 2 1 4 2 3 1 1 1 2 2 2 2 2 2 2 2 2 2 4 2 1 1 1 1 1 3 3 1 1 1 3 3 2 1 11 6 11 11 1 11 11 11 11 11 1 11 11 11 11 2 2 3 8 10 526 2224451048151511551115713422541551111221254113567228256161433022221111111111121111111121113552222222222222222261334114131111112142311122222222224211111331113321116111111111111111111111111223810 1 0,3333 0,3333 0,3333 0,582 0,2737 0,1442
2 3 2 4 4 6 10 4 8 4 6 7 1 6 6 6 6 5 1 6 6 7 13 6 3 2 5 4 7 1 7 7 7 7 7 7 7 2 1 10 11 1 3 1 3 8 7 3 28 5 17 1 15 4 32 6 30 2 2 13 13 13 13 13 13 13 13 13 13 13 1 13 5 13 13 13 13 11 13 11 1 13 1 13 12 2 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 7 11 12 12 12 11 12 1 12 12 11 12 12 12 12 12 12 12 11 12 12 1 7 2 8 8 8 8 2 2 2 2 8 8 6 1 6 6 6 6 6 6 6 6 1 1 1 1 1 12 13 13 13 13 13 13 1 13 13 13 11 11 13 16 2 5 9 10 527 2324461048467166665166713632547177777772110111313873285171154326302213131313131313131313131135131313131113111131131225522222222222222222711121212111211212111212121212121211121217288882222886166666666111111213131313131311313131111131625910 1 0,3333 0,3333 0,3333 0,0288 0,9712 0
1 7 2 4 4 3 1 3 8 2 5 3 2 6 1 6 6 1 1 1 1 2 11 7 2 2 3 1 1 1 6 6 6 1 7 1 6 2 2 1 7 1 1 1 2 8 7 2 28 3 9 8 16 2 32 6 30 1 2 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 12 1 7 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 1 1 1 5 7 7 7 7 7 1 7 7 4 4 6 1 5 5 5 5 5 5 5 5 1 12 1 12 1 1 1 1 1 12 12 12 12 12 12 12 12 16 3 3 8 3 528 17244313825326166111121172231116661716221711128722839816232630121313131313131313131313131313131313131313131313131312171221222222222222226131313131313131313131313131313131313131313111577777177446155555555112112111111212121212121212163383 1 0,3333 0,3333 0,3333 0 1 0
1 2 2 4 3 2 10 4 8 5 5 5 4 5 5 4 5 1 1 1 1 2 11 2 2 1 3 2 5 5 5 5 1 5 5 1 1 1 2 6 4 1 1 3 2 6 7 1 8 4 9 6 16 2 32 6 4 2 2 1 1 1 1 1 1 1 1 11 1 1 11 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 5 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 1 2 5 1 1 1 1 1 1 11 1 1 1 1 1 10 1 1 1 1 1 1 1 1 2 1 2 2 5 2 3 6 4 2 5 2 4 1 1 3 3 3 3 3 1 3 4 4 2 1 1 1 1 1 1 1 1 1 1 1 1 11 1 1 1 2 1 5 8 6 529 12243210485554554511112112213255551551112641132671849616232642211111111111111111111111111117512222222222221221251111111111111101111111121225236425241133333134421111111111111111121586 1 0,3333 0,3333 0,3333 1 0 0
1 1 2 3 3 4 10 4 8 1 2 1 2 1 1 2 3 1 1 1 1 2 12 1 2 2 1 3 3 3 2 4 2 2 3 4 4 1 2 5 4 1 1 3 3 3 7 1 8 3 9 3 16 1 8 2 30 2 2 6 12 6 12 2 12 4 3 14 14 12 9 14 14 3 1 12 14 14 12 12 14 1 14 14 11 6 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 6 6 2 5 4 2 3 9 3 3 7 1 12 7 1 1 12 5 4 12 12 1 2 1 2 2 3 2 2 4 3 1 3 2 3 1 2 3 2 3 2 3 2 2 4 3 1 6 6 5 7 6 7 9 8 5 5 6 6 5 7 6 5 1 7 5 8 11 530 1123341048121211231111212122133324223441254113337183931618230226126122124314141291414311214141212141141411655222222222222222126625423933711271112541212121223224313231232323224316657679855665765175811 1 0,3333 0,3333 0,3333 0,0747 0,2354 0,6899
1 3 2 3 3 1 3 1 8 1 4 1 5 1 1 5 5 1 5 1 1 1 1 4 2 1 1 1 1 1 1 5 1 1 1 5 5 1 2 1 1 2 1 3 3 1 2 2 28 5 5 1 2 1 4 3 6 2 2 9 1 1 12 1 12 12 1 12 12 12 1 12 1 1 1 12 12 12 1 12 1 1 12 12 1 6 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 11 11 11 1 11 11 1 1 1 11 1 1 11 1 1 1 1 11 1 1 1 5 2 6 2 6 6 2 6 2 2 6 6 3 2 2 4 2 3 3 4 3 2 4 3 2 1 1 1 1 1 1 1 1 11 1 1 11 1 1 1 1 1 3 5 4 10 531 132331318141511551511114211111151115512112133122285512143622911121121211212121121111212121121112121655222222222222222225111111111111111111111111111115262662622663224233432432111111111111111111135410 1 0,3333 0,3333 0,3333 0,7884 0,2116 0
1 6 2 3 4 5 1 3 8 1 5 1 5 1 1 1 5 1 1 1 1 1 13 5 2 1 1 1 1 5 6 6 6 5 1 1 6 1 2 10 11 1 3 1 1 1 2 2 28 5 5 1 2 2 32 6 6 1 2 11 1 12 12 12 12 12 1 12 12 12 1 12 11 12 12 1 12 1 12 12 12 12 12 12 11 2 5 5 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 6 6 12 12 1 11 1 1 1 12 11 12 1 12 1 12 12 12 11 1 1 1 3 7 5 6 6 5 3 6 3 5 5 5 1 4 3 3 3 3 3 3 3 3 4 3 2 1 1 1 1 12 1 12 12 12 1 1 1 1 1 1 1 2 3 3 9 3 532 1623451381515111511111135211115666511612101113111222855122326612111121212121211212121121112121121121212121212112552212222222222221266121211111112111211211212121111137566536355514333333334321111121121212111111123393 1 0,3333 0,3333 0,3333 0,3266 0,6734 0
2 3 2 1 1 1 8 1 8 1 5 1 5 5 1 5 1 1 1 1 1 4 14 2 2 2 1 1 5 1 1 1 5 1 2 5 1 1 1 5 1 2 2 3 1 1 2 2 28 5 3 1 1 2 32 6 30 1 1 6 6 5 4 1 4 9 7 6 1 7 1 1 8 1 9 6 6 1 5 1 7 3 6 1 1 9 5 5 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 1 2 5 11 4 7 4 7 3 1 1 9 10 1 12 9 12 1 12 1 5 1 1 1 4 6 2 2 6 2 2 3 2 2 5 5 2 4 2 1 1 3 4 4 2 2 2 2 1 1 5 1 1 6 1 9 9 1 1 1 3 1 2 1 1 4 2 3 3 2 533 23211181815155151111141422211511151251115122311222853112326301166541497617118196615173611955221222222222222125114747311910112912112151114622622322552421134422221151161991113121142332 1 0,3333 0,3333 0,3333 0,4482 0 0,5518
2 4 2 4 4 5 10 4 8 1 4 5 5 2 1 7 1 6 6 1 1 6 4 5 2 2 4 3 6 6 6 6 6 6 6 6 6 1 2 2 7 2 2 3 3 8 7 2 28 5 16 1 15 2 32 6 30 2 2 9 5 8 11 11 4 4 8 2 2 6 7 7 2 9 8 2 10 9 7 5 3 3 4 10 5 8 3 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 6 9 2 11 8 7 5 2 6 9 10 6 3 5 3 6 7 5 4 4 3 10 2 2 5 5 5 5 5 2 2 5 5 5 1 1 4 2 4 4 4 4 4 4 1 1 2 3 4 5 2 4 3 2 4 9 2 3 3 7 11 11 10 13 2 3 2 14 534 24244510481455217166116452243666666666122722338722851611523263022958111144822677298210975334105835222222222222222126921187526910635367544310225555522555114244444411234524324923371111101323214 1 0,3333 0,3333 0,3333 0 0,3967 0,6033
1 3 2 3 4 4 10 4 8 5 4 1 5 1 1 1 5 1 1 1 1 2 14 4 2 1 1 2 1 5 1 1 2 2 1 5 5 1 1 7 3 2 2 1 2 4 7 1 8 3 9 4 16 2 32 6 4 2 2 1 8 1 1 1 1 1 1 1 1 1 11 1 2 2 9 4 1 1 4 2 5 3 1 1 1 8 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 5 3 1 1 2 1 8 11 4 1 1 3 3 10 4 2 4 1 1 3 2 3 3 2 3 3 4 1 4 4 3 2 4 1 3 3 1 3 1 1 2 3 1 3 3 3 1 1 1 5 6 6 2 6 5 4 3 4 6 4 1 1 1 4 2 5 9 14 535 1323441048541511151111214421121511221551173221247183941623264221811111111111122941142531118552222222222222221253112181141133104241132332334144324133131123133311156626543464111425914 1 0,3333 0,3333 0,3333 0,5252 0 0,4748
2 4 2 3 3 7 8 1 8 1 5 1 1 5 1 5 1 1 1 1 1 2 2 5 2 2 2 1 1 5 1 1 1 1 1 1 5 1 2 2 1 1 1 3 2 1 2 1 4 5 5 1 2 2 32 6 30 2 2 6 2 3 3 3 2 3 4 2 2 2 4 2 4 4 3 3 3 3 2 4 4 4 5 3 3 4 5 5 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 5 6 6 1 2 10 2 4 3 2 11 2 1 2 1 2 1 1 6 1 1 1 3 3 3 3 4 3 3 4 3 3 4 3 1 1 1 1 1 1 4 4 1 1 4 1 2 1 2 2 3 7 4 6 8 7 2 2 2 3 6 6 2 4 5 11 1 2 536 2423378181511515111112252221151111115122111321214551223263022623332342224244333324445334552222222122222222256612102432112121211611133334334334311111144114121223746872223662451112 1 0,3333 0,3333 0,3333 0,1645 0 0,8355
2 3 2 3 2 3 10 4 8 2 2 3 2 2 2 2 2 1 1 1 1 1 9 3 2 2 3 3 1 2 2 2 2 2 2 2 2 1 1 2 7 1 1 3 2 1 2 2 28 2 5 1 2 2 32 6 30 2 2 8 14 14 14 14 14 14 14 3 14 14 14 14 14 14 4 14 3 14 14 14 14 14 14 14 1 7 5 5 2 2 1 1 1 1 1 1 1 2 2 2 2 1 2 1 2 3 14 14 14 4 8 3 1 5 4 9 4 4 14 4 14 14 5 9 14 14 7 1 2 2 2 2 4 2 2 2 2 2 2 1 2 1 2 2 2 2 2 1 2 2 2 2 3 4 4 5 5 5 8 8 8 6 5 6 6 6 5 5 7 1 3 8 14 537 232323104822322222111119322331222222221127113212228251223263022814141414141414314141414141441431414141414141417552211111112222121231414144831549441441414591414712222422222212122222122223445558886566655713814 1 0,3333 0,3333 0,3333 0,0107 0,3723 0,6169
1 5 2 4 4 1 4 1 8 1 5 1 1 1 1 1 1 1 1 1 1 2 3 1 2 2 3 2 1 1 1 5 1 1 1 1 1 1 2 2 3 2 1 3 1 4 7 2 28 5 9 1 4 2 32 6 30 2 2 1 3 3 1 1 1 1 1 5 5 1 3 3 4 2 3 4 3 3 4 3 1 4 2 1 1 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 5 5 1 1 2 3 1 6 3 2 4 2 1 1 1 1 1 2 3 1 1 1 1 4 4 3 4 3 3 4 3 4 3 3 3 3 1 3 1 1 3 3 1 3 4 1 1 2 2 2 3 3 4 4 3 2 1 3 3 6 3 4 4 3 2 3 3 1 538 15244141815111111111123122321115111111223213147228591423263022133111115513342343343142113222222222222222221255112316324211111231111443433434333313113313411222334432133634432331 1 0,3333 0,3333 0,3333 0,4401 0 0,5599
2 4 2 4 4 4 10 4 8 4 4 5 7 4 7 7 4 6 4 1 1 1 1 5 2 1 3 2 1 2 2 1 4 5 5 5 2 4 2 9 11 1 1 3 1 1 2 2 28 5 5 1 2 2 32 6 27 2 2 11 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 4 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 1 2 4 1 1 1 1 11 1 1 11 1 11 1 1 1 1 1 1 1 11 1 1 1 1 6 6 6 6 5 5 5 1 6 5 5 3 4 3 4 3 3 4 3 3 3 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 3 1 14 539 2424441048445747746411115213212214555242911113112228551223262722111111111111111111111111111224222212222222222124111111111111111111111111116666555165534343343333311111111111111111223114 1 0,3333 0,3333 0,3333 0,8724 0,1276 0
1 2 2 3 3 2 9 1 8 4 4 1 5 2 1 3 3 1 1 1 1 1 7 2 2 2 3 2 1 1 1 1 2 1 2 2 2 1 3 4 2 1 2 3 2 3 7 2 28 3 3 3 16 2 32 6 30 2 2 2 4 2 4 4 2 2 4 4 4 6 7 4 3 4 4 6 4 5 3 6 4 2 4 4 3 8 3 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 5 3 2 2 2 2 2 4 2 2 2 2 2 4 3 3 4 2 2 2 4 2 2 2 3 5 5 2 2 5 2 5 5 2 1 1 2 2 2 2 3 3 2 2 4 2 2 5 8 7 9 9 8 8 6 4 3 5 8 6 9 9 4 8 3 5 3 2 540 122332918441521331111172223211112122213421232372283331623263022242442244467434464536424438352222222222222221253222224222224334222422235522525521122223322422587998864358699483532 1 0,3333 0,3333 0,3333 0 0 1
1 5 2 1 1 4 1 3 8 4 4 1 4 5 1 2 4 1 4 1 1 1 1 1 1 1 1 1 2 5 1 2 1 5 1 1 4 1 1 6 1 2 2 3 4 1 2 2 28 5 5 1 1 5 4 2 21 2 1 11 1 6 2 2 2 3 4 3 2 4 1 5 10 9 5 8 7 6 8 7 9 10 6 2 2 5 5 3 1 2 2 1 2 1 1 1 1 1 1 1 1 2 1 1 2 5 10 3 8 2 10 2 1 1 5 11 1 1 6 2 1 2 1 5 2 1 1 3 2 2 5 6 3 5 2 2 2 2 2 3 3 1 3 3 1 2 3 3 3 1 1 1 1 5 4 7 7 10 10 6 2 3 1 5 6 1 1 3 8 2 3 3 3 541 152114138441451241411111111125121511411612234122285511542212111162223432415109587687910622553122121111111121125103821021151111621215211322563522222331331233311115477101062315611382333 1 0,3333 0,3333 0,3333 0,1869 0 0,8131
2 7 2 4 4 5 1 2 8 1 5 1 2 1 1 1 3 1 1 1 1 1 7 5 2 2 3 3 4 1 5 4 1 1 5 5 3 1 1 5 3 2 2 1 4 1 2 2 28 5 5 1 2 2 32 6 30 2 2 11 1 4 1 4 1 1 1 11 6 1 3 6 4 6 1 1 6 4 6 1 3 3 4 3 1 3 3 5 1 2 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 1 9 3 1 6 11 1 1 11 6 11 1 3 6 1 1 4 1 11 1 7 1 3 1 6 1 6 6 6 3 1 3 5 5 2 3 4 4 4 2 4 4 4 4 2 1 2 11 1 6 7 5 2 13 7 11 11 9 11 11 3 1 6 8 5 3 2 3 542 27244512815121113111117522334154115531153221412228551223263022111414111116136461164613343133512111211111121111193161111116111361141111713161666313552344424444212111675213711119111131685323 1 0,3333 0,3333 0,3333 0,4895 0,0637 0,4468
1 3 2 3 3 4 1 3 8 1 4 1 1 1 1 4 1 1 2 1 1 1 4 3 2 1 3 2 1 1 1 1 1 4 1 2 2 2 2 3 4 1 2 3 2 1 2 2 28 4 3 1 2 2 32 6 17 2 2 9 8 2 7 4 2 7 8 4 6 5 6 7 6 2 5 2 2 3 4 5 6 6 7 7 6 4 5 4 1 2 2 1 2 1 2 1 2 2 2 2 1 2 2 1 2 2 8 5 3 3 8 8 6 7 6 9 6 5 4 4 7 6 4 9 6 8 4 3 3 4 3 3 3 4 4 4 4 4 4 3 3 2 3 1 3 3 3 3 1 3 3 2 4 4 5 6 6 7 7 8 6 4 5 5 5 4 6 6 8 2 3 1 3 543 13233413814111141121114321321111141222234123212228431223261722982742784656762522345667764541221212122221221228533886769654476496843343334444443323133331332445667786455546682313 1 0,3333 0,3333 0,3333 0 0 1
2 2 2 3 3 2 10 4 8 4 4 5 5 1 4 1 5 2 2 1 1 2 11 4 2 1 1 1 4 2 2 5 2 4 1 1 4 2 1 2 3 1 1 3 2 3 7 2 28 3 3 3 16 2 32 6 4 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 8 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 1 1 11 1 1 1 1 1 1 1 1 1 1 1 1 1 11 3 3 3 3 2 1 2 4 2 3 3 3 6 6 3 3 3 3 3 3 3 3 4 4 1 11 11 1 11 1 1 11 1 1 1 1 1 11 1 1 1 17 1 5 8 11 544 2223321048445514152211211421114225241142123113237228333162326422111111111111111111111111118552222222222222221211111111111111111111111133332124233366333333334411111111111111111111111715811 1 0,3333 0,3333 0,3333 0,8872 0,1128 0
2 2 2 2 1 2 10 4 8 3 2 5 2 3 3 5 2 1 3 1 1 2 1 4 2 1 2 1 4 2 3 2 3 3 4 5 2 1 3 1 4 2 2 3 2 3 7 2 28 5 9 3 16 2 32 6 4 2 2 1 6 4 9 5 4 4 8 1 4 5 11 6 9 7 3 7 5 4 4 6 7 3 3 6 7 7 1 5 1 1 2 2 2 1 2 2 2 2 2 2 1 1 2 2 2 3 10 1 3 6 1 4 11 8 8 1 4 1 7 3 3 2 3 1 4 5 1 2 1 3 2 4 2 4 6 2 2 5 3 2 2 2 3 3 3 4 4 2 2 4 2 2 1 4 1 1 4 1 3 4 3 4 1 1 1 3 2 1 1 2 5 9 14 545 2222121048325233521311214212142323345213142232372285931623264221649544814511697375446733677151122212222221122231013614118814173323145121324246225322233344224221411413434111321125914 1 0,3333 0,3333 0,3333 0,2299 0 0,7701
1 3 2 1 1 2 8 4 8 1 5 1 3 1 1 1 1 1 1 4 1 2 7 4 2 1 1 2 1 1 1 1 5 1 1 4 1 1 2 3 1 2 1 1 2 4 7 2 28 5 17 1 2 2 32 6 4 1 1 9 7 7 3 10 1 9 11 2 6 3 9 6 5 6 3 10 6 5 6 5 7 2 6 10 3 9 5 5 1 1 1 1 1 2 2 2 1 1 1 1 1 2 1 2 2 6 9 1 1 2 1 11 11 11 1 6 6 1 1 1 1 1 1 1 1 1 6 6 3 6 1 5 1 1 5 5 1 5 1 3 3 1 4 1 1 4 4 1 1 4 4 2 10 3 3 4 4 6 6 7 3 4 5 10 11 9 1 11 1 5 5 5 3 546 1321128481513111111412742112111151141123121124722851712232641197731019112639656310656572610395511111222111112122691121111111166111111111663615115515133141144114421033446673451011911115553 1 0,3333 0,3333 0,3333 0,3785 0 0,6215
2 3 2 4 3 3 11 3 8 7 7 7 7 7 7 7 7 5 6 1 1 1 14 7 2 2 4 3 6 6 6 6 6 6 6 6 6 1 2 11 7 1 2 1 2 1 6 2 28 6 5 1 15 2 32 6 30 1 2 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 11 2 5 5 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 6 12 12 12 12 12 12 12 12 12 11 12 12 12 12 12 12 12 12 12 12 12 2 7 7 7 7 7 7 7 7 7 7 7 1 5 5 5 5 5 5 5 5 5 5 5 3 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 17 5 3 9 14 547 23243311387777777756111147224366666666612117121216228651152326301212121212121212121212121212121212121212121212121212112552222222222222222261212121212121212121112121212121212121212122777777777771555555555553121212121212121212121212121212121753914 1 0,3333 0,3333 0,3333 0 1 0
1 3 2 4 3 5 1 3 8 1 5 1 1 1 1 1 4 1 2 1 1 1 12 3 2 2 3 3 1 3 4 4 2 1 2 5 1 1 2 1 4 1 1 1 2 1 2 2 28 5 5 1 2 2 32 6 30 2 2 3 7 5 12 6 12 12 7 12 7 12 6 6 7 7 12 5 5 8 6 5 12 6 4 7 11 7 3 3 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 9 12 3 6 6 6 9 9 12 9 5 12 4 5 4 7 3 1 4 3 1 3 2 5 5 5 2 5 5 5 2 5 5 3 3 3 4 4 4 4 4 3 4 4 4 2 3 1 1 1 1 1 6 4 8 1 3 1 1 5 1 1 4 3 3 1 3 548 13243513815111114121111232233134421251121411121222855122326302237512612127127126677125586512647117332212222222222222219123666991295124547314313255525552553334444434442311111648131151143313 1 0,3333 0,3333 0,3333 0,0343 0,3284 0,6374
1 3 2 3 3 1 10 4 8 4 4 1 2 1 3 1 2 3 1 1 1 2 12 3 2 2 1 3 1 1 1 6 1 5 2 1 2 2 2 2 7 1 1 1 2 1 2 1 4 3 5 1 12 2 32 6 30 1 2 6 3 6 4 4 12 6 6 12 12 7 5 5 12 12 12 12 12 6 12 2 5 4 6 5 11 3 5 4 2 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 2 1 8 12 12 7 5 5 11 7 12 10 12 12 12 12 12 12 5 8 12 2 2 2 2 3 4 4 3 4 3 4 4 3 3 1 1 3 3 3 1 1 3 1 3 1 1 1 6 3 2 5 4 6 7 8 9 4 3 4 5 3 2 2 16 2 3 1 16 549 1323311048441213123111212322131116152122227111212143511223263012636441266121275512121212126122546511354212222211222222121812127551171210121212121212581222223443434433113331131311163254678943453221623116 1 0,3333 0,3333 0,3333 0 0,2118 0,7882
